study_id,operator,case_id,measurement_level,cache_mode,candidate_variant,baseline_variant,candidate_p50_us,baseline_p50_us,p50_speedup,candidate_p95_us,baseline_p95_us,p95_speedup,candidate_cv,baseline_cv,candidate_workspace_bytes,baseline_workspace_bytes,process_direction_wins,process_direction_pairs
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r65536_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,8.9088,15.2064,1.706896,9.6384,19.097599,1.981408,0.390621,0.142043,0,0,5,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r65536_e16.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8192,17.1776,1.021309,18.67264,19.00032,1.017549,0.256177,0.19601,0,0,3,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r65536_e64.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cub_device_histogram,16.896001,16.0256,0.948485,17.64096,19.27936,1.092875,0.162287,0.157437,0,3327,1,5
histogram_v2_vs_reference_envelope,histogram,histogram.v2.r65536_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.5376,16.5632,1.001548,17.664,19.712,1.115942,0.166382,0.255499,0,0,2,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r1048576_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,3.8912,16.7424,4.302632,9.4208,22.630399,2.402174,0.450303,0.216536,0,0,5,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r1048576_e64.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.1248,18.176,1.002825,22.48192,22.18496,0.986791,0.262849,0.204418,0,0,3,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r1048576_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.0224,17.3568,0.963068,23.04,22.78912,0.989111,0.348355,0.256307,0,0,2,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r1048576_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,18.4832,17.5104,0.947368,22.3232,23.45984,1.050917,0.225232,0.16338,0,0,1,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r128_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,7.83872,9.0112,1.149575,9.841664,12.023296,1.221673,0.122195,0.130993,0,0,5,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r128_e8.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,9.2672,8.79616,0.949171,11.744768,12.450816,1.060116,0.134026,0.155865,0,0,2,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r32768_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8448,16.9984,1.009119,18.4704,17.79456,0.96341,0.197769,0.233072,0,0,4,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r32768_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8192,16.6912,0.99239,18.54464,18.60608,1.003313,0.218146,0.182666,0,0,1,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r4096_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,8.05888,10.496,1.302414,9.222144,12.758016,1.383411,0.18796,0.197784,0,0,5,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r4096_e64.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,10.6496,10.30144,0.967308,12.556288,13.164544,1.048442,0.163917,0.183236,0,0,1,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r4096_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,10.42432,10.5984,1.016699,12.340224,12.362752,1.001826,0.191565,0.152763,0,0,4,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r65536_e1.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,8.9088,15.2064,1.706896,9.6384,19.097599,1.981408,0.390621,0.142043,0,0,5,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r65536_e16.uniform,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.8192,17.1776,1.021309,18.67264,19.00032,1.017549,0.256177,0.19601,0,0,3,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r65536_e64.single_hot,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.896001,17.100801,1.012121,17.64096,17.99936,1.020316,0.162287,0.179941,0,0,3,5
histogram_v2_vs_shipping_v1,histogram,histogram.v2.r65536_e64.zipf14,L2_operator_steady,warm,cuda_candidate_v2,cuda_candidate_v1,16.5376,16.5632,1.001548,17.664,19.712,1.115942,0.166382,0.255499,0,0,2,5
scan_cub_block_vs_naive,exclusive_scan,exclusive_scan.e1.l2,L2_operator_steady,warm,cub_block_scan,cuda_naive,8.58112,8.59136,1.001193,12.388352,10.588671,0.854728,0.158138,0.121277,0,0,2,5
scan_cub_block_vs_naive,exclusive_scan,exclusive_scan.e31.l2,L2_operator_steady,warm,cub_block_scan,cuda_naive,8.7296,8.64256,0.990029,10.322944,11.286016,1.093294,0.128523,0.129433,0,0,1,5
scan_cub_block_vs_naive,exclusive_scan,exclusive_scan.e32.l2,L2_operator_steady,warm,cub_block_scan,cuda_naive,8.54528,8.76032,1.025165,11.662848,9.87136,0.846394,0.1439,0.120497,0,0,3,5
scan_cub_block_vs_naive,exclusive_scan,exclusive_scan.e33.l2,L2_operator_steady,warm,cub_block_scan,cuda_naive,8.29952,8.9344,1.076496,11.155968,10.5088,0.941989,0.141318,0.129917,0,0,4,5
scan_cub_block_vs_naive,exclusive_scan,exclusive_scan.e64.l2,L2_operator_steady,warm,cub_block_scan,cuda_naive,8.53504,8.82688,1.034193,12.677632,12.697088,1.001535,0.153108,0.152063,0,0,3,5
scan_cub_warp_vs_naive,exclusive_scan,exclusive_scan.e1.l2,L2_operator_steady,warm,cub_warp_scan,cuda_naive,8.21248,8.59136,1.046135,10.843136,10.588671,0.976532,0.137754,0.121277,0,0,3,5
scan_cub_warp_vs_naive,exclusive_scan,exclusive_scan.e31.l2,L2_operator_steady,warm,cub_warp_scan,cuda_naive,8.61184,8.64256,1.003567,11.710464,11.286016,0.963755,0.136739,0.129433,0,0,3,5
scan_cub_warp_vs_naive,exclusive_scan,exclusive_scan.e32.l2,L2_operator_steady,warm,cub_warp_scan,cuda_naive,8.43776,8.76032,1.038228,11.300352,9.87136,0.873544,0.132121,0.120497,0,0,4,5
scan_cub_device_vs_naive,exclusive_scan,exclusive_scan.e1.l2,L2_operator_steady,warm,cub_device_scan,cuda_naive,26.752001,8.59136,0.321148,31.836672,10.588671,0.332594,0.090707,0.121277,1023,0,0,5
